id,oracle_precision,oracle_recall,gui_precision,gui_recall,gui_tps,gui_fps,gui_fns,gui_tns,oracle_tps,oracle_fps,oracle_fns,oracle_tns,Success,Reduction
c1-t1-a11-a12,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a13,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a11,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a13,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a11,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a12,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a14-a11,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a14-a13,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a14-a15,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c1-t1-a14-a12,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a11,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a13,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a12,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a14,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c1-t2-a11-a12,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a13,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a11,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a13,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a11,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a12,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a14-a11,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a14-a13,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a14-a15,1.0,1.0,1.0,1.0,4,0,0,0,3,0,0,0,,
c1-t2-a14-a12,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a15-a11,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
