aid_from,aid_to,step_from,step_to
a21,a22,0,0
a21,a22,1,1
a21,a22,2,2
a21,a22,3,3
a21,a23,0,1
a21,a23,1,2
a21,a23,2,3
a21,a23,3,4
a21,a24,0,-1
a21,a24,1,0
a21,a24,2,1
a21,a24,3,2
a21,a25,0,0
a21,a25,1,1
a21,a25,2,2
a21,a25,3,3
a22,a21,0,0
a22,a21,1,1
a22,a21,2,2
a22,a21,3,3
a22,a23,0,1
a22,a23,1,2
a22,a23,2,3
a22,a23,3,4
a22,a24,0,-1
a22,a24,1,0
a22,a24,2,1
a22,a24,3,2
a22,a25,0,0
a22,a25,1,1
a22,a25,2,2
a22,a25,3,3
a23,a21,0,-1
a23,a21,1,0
a23,a21,2,1
a23,a21,3,2
a23,a21,4,3
a23,a22,0,-1
a23,a22,1,0
a23,a22,2,1
a23,a22,3,2
a23,a22,4,3
a23,a24,0,-1
a23,a24,1,-1
a23,a24,2,0
a23,a24,3,1
a23,a24,4,2
a23,a25,0,-1
a23,a25,1,0
a23,a25,2,1
a23,a25,3,2
a23,a25,4,3
a24,a21,0,1
a24,a21,1,2
a24,a21,2,3
a24,a22,0,1
a24,a22,1,2
a24,a22,2,3
a24,a23,0,2
a24,a23,1,3
a24,a23,2,4
a24,a25,0,1
a24,a25,1,2
a24,a25,2,3
a25,a21,0,0
a25,a21,1,1
a25,a21,2,2
a25,a21,3,3
a25,a22,0,0
a25,a22,1,1
a25,a22,2,2
a25,a22,3,3
a25,a23,0,1
a25,a23,1,2
a25,a23,2,3
a25,a23,3,4
a25,a24,0,-1
a25,a24,1,0
a25,a24,2,1
a25,a24,3,2
